id,sort_code,bank_name,branch_name
1,10101,BANK OF GHANA,ACCRA
2,10303,BANK OF GHANA,AGONA SWEDRU
3,10401,BANK OF GHANA,TAKORADI
4,10402,BANK OF GHANA,SEFWI BOAKO
5,10601,BANK OF GHANA,KUMASI
6,10701,BANK OF GHANA,SUNYANI
7,10801,BANK OF GHANA,TAMALE
8,11101,BANK OF GHANA,HOHOE
9,20101,STANDARD CHARTERED BANK,HIGH STREET
10,20102,STANDARD CHARTERED BANK,INDEPENDENCE AVENUE
11,20104,STANDARD CHARTERED BANK,LIBERIA ROAD
12,20105,STANDARD CHARTERED BANK,OPEIBEA HOUSE
13,20106,STANDARD CHARTERED BANK,TEMA
14,20108,STANDARD CHARTERED BANK,LEGON
15,20112,STANDARD CHARTERED BANK,OSU
16,20118,STANDARD CHARTERED BANK,SPINTEX
17,20121,STANDARD CHARTERED BANK,DANSOMAN
18,20126,STANDARD CHARTERED BANK,ABEKA
19,20127,STANDARD CHARTERED BANK,ACHIMOTA
20,20129,STANDARD CHARTERED BANK,NIA
21,20132,STANDARD CHARTERED BANK,TEMA HABOUR
22,20133,STANDARD CHARTERED BANK,WESTHILLS
23,20436,STANDARD CHARTERED BANK,LIBERIA ROAD TAKORADI
24,20611,STANDARD CHARTERED BANK,KNUST
25,20613,STANDARD CHARTERED BANK,AHODWO
26,20615,STANDARD CHARTERED BANK,HARPER ROAD
27,20617,STANDARD CHARTERED BANK,OBUASI
28,20823,STANDARD CHARTERED BANK,TAMALE
29,30101,ABSA (GH) LTD,KASOA
30,30104,ABSA (GH) LTD,A AND C MALL
31,30105,ABSA (GH) LTD,ACCRA MALL
32,30106,ABSA (GH) LTD,ABEKA LAPAZ
33,30107,ABSA (GH) LTD,DANSOMAN
34,30108,ABSA (GH) LTD,GNPC
35,30109,ABSA (GH) LTD,NIMA
36,30110,ABSA (GH) LTD,LEGON
37,30111,ABSA (GH) LTD,ACHIMOTA
38,30112,ABSA (GH) LTD,OSU
39,30114,ABSA (GH) LTD,RING ROAD CENTRAL
40,30116,ABSA (GH) LTD,BCM
41,30117,ABSA (GH) LTD,MOTORWAY EXT
42,30121,ABSA (GH) LTD,SPINTEX MAIN
43,30122,ABSA (GH) LTD,KNUTSFORD AVENUE
44,30125,ABSA (GH) LTD,LEGON MAIN
45,30130,ABSA (GH) LTD,TEMA FISHING HARBOUR
46,30135,ABSA (GH) LTD,MAKOLA SQUARE
47,30136,ABSA (GH) LTD,AIRPORT CITY
48,30141,ABSA (GH) LTD,CIRCLE
49,30144,ABSA (GH) LTD,ACCRA CORPORATE SERVICE CENTER
50,30145,ABSA (GH) LTD,SPINTEX PRESTIGE
51,30148,ABSA (GH) LTD,HIGH STREET
52,30149,ABSA (GH) LTD,DIRECT SALES
53,30154,ABSA (GH) LTD,AVENUE CENTRAL
54,30155,ABSA (GH) LTD,UNDP
55,30160,ABSA (GH) LTD,TEMA MAIN
56,30161,ABSA (GH) LTD,SME CENTRE
57,30162,ABSA (GH) LTD,AGBOBLOSHIE
58,30163,ABSA (GH) LTD,MADINA
59,30164,ABSA (GH) LTD,HEAD OFFICE
60,30168,ABSA (GH) LTD,TESHIE NUNGUA
61,30169,ABSA (GH) LTD,ACCRA NEWTOWN
62,30170,ABSA (GH) LTD,DOME
63,30173,ABSA (GH) LTD,DARKUMAN
64,30175,ABSA (GH) LTD,INDEPENDENCE AVENUE
65,30179,ABSA (GH) LTD,WEIJA
66,30184,ABSA (GH) LTD,ASHAIMAN
67,30185,ABSA (GH) LTD,HAATSO
68,30187,ABSA (GH) LTD,KANESHIE
